S.No.,Title,Chapter,Verse,Sanskrit Anuvad,Hindi Anuvad,Enlgish Translation
20,Arjuna's Vishada Yoga,Chapter 1,Verse 1.20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान्कपिध्वजः प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः हृषीके...,हे राजन् ! इसके बाद कपिध्वज अर्जुन ने मोर्चा बाँधकर डटे हुए धृतराष्ट्र-सम्बन्धियों को देखकर उस शस्त्र चलने की तैयारी के समय धनुष उठाकर ह्रषीकेश श्रीकृष्ण महाराज से यह वचन कहा —— हे अच्युत ! मेरे रथको दोनों सेनाओं के बीच में खड़ा कीजिये |,"Sanjaya said :Then, my king, seeing the KAURAVAS (the army of Dhrtarashtra), positioned and ready to begin fighting, ARJUNA, whose flag was that of HANUMAN, spoke the following words to SHRI KRISHNA, as he lifted his bow to fight the battle."
21,Arjuna's Vishada Yoga,Chapter 1,Verse 1.21,हृषीकेशं तदा वाक्यमिदमाह महीपते |अर्जुन उवाच |सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ॥ १.२१ ॥,"अर्जुन ने कहा: ""दोनों सेनाओं के बीच में, मेरा रथ, हे अच्युत, रखें, ताकि मैं उन लोगों को देख सकूं जो यहां युद्ध करने के इच्छुक हैं और इस युद्ध की पूर्व संध्या पर, मुझे बताएं कि मुझे किसके साथ लड़ना है।","Arjuna said: In the midst of the two armies, place my chariot, O Achyuta, that I may behold those who stand here desirous of fighting and, on the eve of this battle, let me know with whom I must fight."
22,Arjuna's Vishada Yoga,Chapter 1,Verse 1.22,यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् | कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ॥ १.२२ ॥,"और जब तक की मैं युद्धक्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लू कि इस युद्ध रूप व्यापार में मुझे किन-किनके साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ।","Place my chariot, O ACHYUTA (Lord Krishna) between the two armies so that I may see those who wish to fight for us and also to see who I have to fight against, in this war."
23,Arjuna's Vishada Yoga,Chapter 1,Verse 1.23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः । धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ॥ १.२३ ...,"दुर्बुद्भि दुर्योधन का युद्ध में हित चाहनेवाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करनेवालों कों मैं देखूंगा ।",I desire to see all of those great warrior kings who have gathered here to fight alongside the evil-minded DURYODHANA (son of Dhrtarashtra).
24,Arjuna's Vishada Yoga,Chapter 1,Verse 1.24,सञ्जय उवाच । एवमुक्तो हृषीकेशो गुडाकेशेन भारत सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ॥ १.२४ ॥,संजय बोले —– हे धृतराष्ट्र ! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्णचन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा कर के इस प्रकार कहा की हे पार्थ ! युद्ध के लिये जुटे हुए इन कौरवों को देख ।,"Sanjaya continued: After being requested by GUDAKESA (Arjun), HRISHIKESA (Lord Krishna), placed ARJUN’s magnificent chariot between the armies. The chariot was now facing BHISMA, the Guru DRONA, and all the rulers of the earth; then Lord KRISHNA spoke to ARJUNA: “O, PARTHA (Arjuna), see yourself all of the KAURAVAS assembled here on the battlefield today.”"
25,Arjuna's Vishada Yoga,Chapter 1,Verse 1.25,भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् । उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ॥ १.२५ ॥,"भीष्म और द्रोण और पृथ्वी के सभी शासकों के सामने उन्होंने कहा, हे पार्थ, देखो ये कुरु एक साथ इकट्ठे हुए।","In front of Bhishma and Drona, and all the rulers of the earth, he said, O Partha, behold these Kurus gathered together."
26,Arjuna's Vishada Yoga,Chapter 1,Verse 1.26,तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा श्वश...॥ 26 ॥,"इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों-परदादों को, गुरुओं को, मामाओं को, भाइयों-पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुह्रदों को भी देखा  उन उपस्थित सम्पूर्ण बन्धुओं को देखकर वे कुन्तीपुत्र अर्जुन अत्यन्त करुणा से युक्त्त होकर शोक करते हुए यह वचन बोले ।","ARJUNA, gazed upon the army and then saw in both armies, paternal uncles, grandfathers, teachers, maternal uncles, cousins, sons, grandsons, friends, fathers-in-law, and well-wishers. The son of KUNTI (Arjuna), after viewing all of those relatives and friends posted in their positions on the battlefield, became melancholy and filled with compassion (love) for his relatives, and spoke in a sad voice:"
27,Arjuna's Vishada Yoga,Chapter 1,Verse 1.27,श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि | तान्समीक्ष्य स कौन्तेय: सर्वान्बन्धूनवस्थितान् ॥ १.२७ ॥,"(उसने देखा) दोनों सेनाओं में ससुर और दोस्त भी। तब कुंती के पुत्र ने इन सब सगे-संबंधियों को इस प्रकार खड़े देखकर, इस प्रकार दुःखी होकर, गहरी दया से भरपूर बात की।","(He saw) Fathers-in-law and friends also in both the armies. Then the son of Kunti, seeing all these kinsmen thus standing arrayed, spoke thus sorrowfully, filled with deep pity."
28,Arjuna's Vishada Yoga,Chapter 1,Verse 1.28,कृपया परयाविष्टो विषीदन्निदमब्रवीत् | अर्जुन उवाच | दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ,अर्जुन बोले —– हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजनसमुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमांच हो रहा है ।,"Arjuna said: O KRISHNA, seeing my kinsmen (relatives) standing before me to fight against me in this war, I find myself unable to move my body, and my mouth has become parched. He continued: I have no longer any control over my body; my hair stands on end. I cannot control my bow GANDIVA, and my skin burns all over."
29,Arjuna's Vishada Yoga,Chapter 1,Verse 1.29,वेपथुश्च शरीरे मे रोमहर्षश्च जायते । गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते ॥ १.२९ ॥,"मेरे अंग विफल हो जाते हैं और मेरा मुंह सूख जाता है, मेरा शरीर तरकश करता है और मेरे बाल अंत में खड़े होते हैं।","My limbs fail and my mouth is parched, my body quivers and my hair stands on end."
30,Arjuna's Vishada Yoga,Chapter 1,Verse 1.30,गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते |न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन: ॥ १.३० ॥,"हाथ से गाण्डीव धनुष गिर रहा है और त्वचा भी बहुत जल रही है तथा मेरा मन भ्रमित-सा हो रहा है, इसलिये मै खड़ा रहने को भी समर्थ नहीं हूँ ।","I can no longer stand; my knees are weak; my mind is clouded and spinning in many directions, and, dear KRISHNA, I am seeing bad signs."
31,Arjuna's Vishada Yoga,Chapter 1,Verse 1.31,न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे । न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च ॥ १.३१ ॥,हे केशव ! मैं लक्षणों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता ।,"I cannot see any good in slaughtering and killing my friends and relatives in battle. O KRISHNA, I have no use nor desire for victory, empire or even materialistic pleasures."
32,Arjuna's Vishada Yoga,Chapter 1,Verse 1.32,किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा । येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च ॥ १.३२ ...,हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही । हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ?,"O GOVINDA, (Krishna), what in the use of a kindgom, enjoyment or even life?"
33,Arjuna's Vishada Yoga,Chapter 1,Verse 1.33,येषामर्थे काङ्क्षितं नो राज्यं भोगा: सुखानि च | त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च  ॥ १.३३ ॥,"हमें जिनके लिये राज्य, भोग और सुखादिं अभीष्ट हैं, वे ही ये सब धन और जीवन की आशा को त्याग कर युद्ध में खड़े हैं ।","Those whom we seek these pleasures from (the enjoyment of kingdom), are standing before us staking their lives and property, possessions which I have no desire for."
34,Arjuna's Vishada Yoga,Chapter 1,Verse 1.34,आचार्या: पितर: पुत्रास्तथैव च पितामहा: | मातुला: श्वशुरा: पौत्रा: श्याला: सम्बन्धिनस्तथा॥ १.३४ ॥,"गुरुजन, ताऊ-चाचे, लड़के और उसी प्रकार दादे, मामे, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं ।","O Lord KRISHNA, I do not want to kill my teachers, uncles, friends, fathers-in-law, grandsons, brothers-in-law, and other relatives and well-wishers."
35,Arjuna's Vishada Yoga,Chapter 1,Verse 1.35,एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन | अपि त्रैलोक्यराज्यस्य हेतो: किं नु महीकृते ॥ १....,"हे मधुसूदन ! मुझे मारने पर भी अथवा तीनों लोकों के राज्य के लिये भी मैं इन सबको मारना नहीं चाहता, फिर पृथ्वी के लिये तो कहना ही क्या है ?",Arjuna spoke to the Lord Madhusudhana (Lord Krishna): I could not slay (kill) my relatives even if I had to give my own life away. I could not slay them even for domination of the three worlds; how could I slay them for domination of this earth.
36,Arjuna's Vishada Yoga,Chapter 1,Verse 1.36,पापमेवाश्रयेदस्मान्हत्वैतानाततायिनः तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्सबान्धवान् स्वजनं हि क...,अतएव हे माधव ! अपने ही बान्धव धृतराष्ट्र के पुत्रों को मारने के लिये हम योग्य नहीं हैं ; क्योंकि अपने ही कुटुम्ब को मारकर हम कैसे सुखी होंगे ।,"O KRISHNA, why should we kill our own loved ones and kinsmen when no happiness or good can come out of so doing?"
37,Arjuna's Vishada Yoga,Chapter 1,Verse 1.37,यद्यप्येते न पश्यन्ति लोभोपहतचेतसः । कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् ॥ १.३७ ॥,"यधपि लोभ से भ्रष्टचित्त हुए ये लोग से कुल के नाश से उत्पन्न दोष को और मित्रों से विरोध करने में पाप को नहीं देखते, तो भी हे जनार्दन ! कुल के नाश से उत्पन्न दोष को जानने वाले हम लोगों को इस पाप से हटने के लिये क्यों नहीं विचार करना चाहिये ?","Greed has clouded the minds and overpowered the intelligence of the sons of DHRTARASHTRA and so they feel no guilt, and fail to see the sins they are commiting by betraying friends and destroying their families. Arjuna continued: Why should we not realize, O KRISHNA, the wrong-doings and sins that the sons of DHRTARASATRA cannot see and realize, and save ourselves from committing these sins?"
38,Arjuna's Vishada Yoga,Chapter 1,Verse 1.38,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् । कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ॥ १.३८ ॥,"हम, जो परिवार-इकाइयों के विनाश में स्पष्ट रूप से बुराई देखते हैं, इस पाप से दूर होना क्यों नहीं सीखना चाहिए, हे जनार्दन?","Why should not we, who clearly see evil in the destruction of the family-units, learn to turn away from this sin, O Janardana?"
39,Arjuna's Vishada Yoga,Chapter 1,Verse 1.39,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः । धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ॥ १.३९ ॥,"कुल के नाश से सनातन कुल-धर्म नष्ट हो जाते हैं, धर्म के नाश हो जाने पर सम्पूर्ण कुल में पाप भी बहुत फैल जाता है ।","Arjuna explained: When one begins to destroy his own family, then his ancient, respected traditions, customs, moral values, principles, are destroyed as well. By the destruction of these, the whole family becomes evil and huge sins are committed."
40,Arjuna's Vishada Yoga,Chapter 1,Verse 1.40,अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः । स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्करः ॥ १.४० ॥,हे कृष्ण ! पाप के अधिक बढ़ जाने से कुल की स्त्रियां अत्यन्त दूषित हो जाती हैं और हे वार्ष्णेय ! स्त्रियों के दूषित हो जाने पर वर्णसंकर उत्पन्न होता है  ।,"O KRISHNA, with the growth of evil in a family, the family women, become impure and evil, and sinning with those of other castes would follow."
41,Arjuna's Vishada Yoga,Chapter 1,Verse 1.41,सङ्करो नरकायैव कुलघ्नानां कुलस्य च । पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ॥ १.४१ ॥,वर्णसंकर कुलघातियों को और कुल को नरक में ले जाने के लिये ही होता है । लुप्त हुई पिण्ड और जलकी क्रिया वाले अर्थात् श्राद्ब और तर्पण से वंचित इनके पितरलोग भी अधो गति को प्राप्त होते हैं|,"By the mixture of castes, families will breed more family destroyers; being deprived of food and water, their ancestors will also fall from heaven."
42,Arjuna's Vishada Yoga,Chapter 1,Verse 1.42,दोषैरेतैः कुलघ्नानां वर्णसङ्करकारकैः । उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ॥ १.४२ ॥,इन वर्णसंकरकारक दोषों से कुलघातियों के सनातन कुल धर्म और जाती-धर्म नष्ट हो जाते हैं|,"The everlasting traditions, customs and principles of a caste are destroyed when different castes join together and create mixed-blood generations. This leads to confusion of a caste’s customs."
43,Arjuna's Vishada Yoga,Chapter 1,Verse 1.43,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन । नरकेऽनियतं वासो भवतीत्यनुशुश्रुम ॥ १.४३ ॥,"हे जनार्दन ! जिनका कुल-धर्म नष्ट हो गया है, ऐसे मनुष्यों का अनिश्चित काल तक नरक में वास होता है, ऐसा हम सुनते आये हैं ।","It has been heard, O JANARDHANA (Krishna) that hell is the permanent home for those men whose families’ religious practices have been broken and destroyed."
44,Arjuna's Vishada Yoga,Chapter 1,Verse 1.44,अहो बत महत्पापं कर्तुं व्यवसिता वयम् । यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ॥ १.४४ ॥,"हा ! शोक ! हमलोग बुद्भिमान् होकर भी महान् पाप करने को तैयार हो गये हैं, जो राज्य और सुख के लोभ से स्वजनों को मारने के लिये उधत हो गये हैं|","Moreover, it is a great shame, that knowing and understanding everything, we are still ready to commit such a great sin of killing our kinsmen, just because of greed for kingdom and pleasures."
45,Arjuna's Vishada Yoga,Chapter 1,Verse 1.45,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः । धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ॥ १.४५ ॥,यदि मुझ शस्त्ररहित एवं सामना न करने वाले को शस्त्र हाथ में लिये हुए धृतराष्ट्र के पुत्र रण में मार डालें तो वह मारना भी मेरे लिए अधिक कल्याणकारक होगा|,"I think it would be better for me if the sons of DHRTARASHTRA slay me, with their weapons while I remain unarmed and unwilling to fight back"
46,Arjuna's Vishada Yoga,Chapter 1,Verse 1.46,सञ्जय उवाच । एवमुक्त्वार्जुनः संख्ये रथोपस्थ उपाविशत् विसृज्य सशरं चापं शोकसंविग्नमानसः ॥ १.४६ ॥,"संजय बोले —– रणभूमि में शोकसे उद्भिग्नमन वाले  अर्जुन इस प्रकार कहकर, बाण सहित धनुष को त्याग कर रथ के पिछले भाग में बैठ गये ।","Sanjaya said: Having said this, ARJUNA, still extremely sad and confused sat on the seat of this chariot throwing away his bow and arrows."
47,Sankhya Yoga,Chapter 2,Verse 2.1,संजय उवाच । तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ॥ २.१ ॥,संजय बोले—उस प्रकार करुणासे व्याप्त और आँसुओंसे पूर्ण तथा व्याकुल नेत्रोंवाले शोकयुक्त उस अर्जुनके प्रति भगवान् मधुसूदनने यह वचन कहा|,"Sanjay recounted: MADHUSUDANA (Lord Krishna) then spoke in his divine voice unto ARJUNA, who was terribly upset and overcome with grief and guilt at the thought of war he was about to enter into."
